Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,18-05-2019,239.4492649,260.3314924,269.7984664,224.8613405
ETH,19-05-2019,238.931991,246.8832332,250.7455078,233.9096324
ETH,20-05-2019,263.4469652,236.8134684,263.9456184,235.7462827
ETH,21-05-2019,250.0415313,263.4497712,265.731034,238.6343525
ETH,22-05-2019,255.8952567,251.9595337,263.4778804,247.6628728
ETH,23-05-2019,246.4173094,255.8952241,261.0659458,240.1637603
ETH,24-05-2019,245.987827,246.407558,248.3938024,231.6547624
ETH,25-05-2019,250.5181481,245.4053483,255.7286147,242.3041411
ETH,26-05-2019,252.8623843,249.6576557,258.0959148,248.0271095
ETH,27-05-2019,264.7384593,252.88237,270.6938734,246.2654321
ETH,28-05-2019,269.1706596,264.738369,280.1591994,264.4292806
ETH,29-05-2019,272.3649993,271.3580517,276.6166322,265.4736742
ETH,30-05-2019,270.458631,272.3645995,274.3331889,260.7551675
ETH,31-05-2019,253.2695206,269.4681278,288.8288033,174.8634317
ETH,01-06-2019,262.6178289,253.2541136,264.0152554,208.6338414
ETH,02-06-2019,268.0068681,262.6332284,275.0262939,261.3622702
ETH,03-06-2019,269.274568,268.0440843,273.8313452,210.3151091
ETH,04-06-2019,257.9038145,269.350444,270.9032065,211.3894776
ETH,05-06-2019,239.0754425,249.6732556,250.8096299,233.7830047
ETH,06-06-2019,246.3609228,239.0304545,249.249108,205.4552916
ETH,07-06-2019,243.5358114,246.1550866,249.6906583,198.8965083
ETH,08-06-2019,250.9237807,243.5257541,254.2408274,171.8649292
ETH,09-06-2019,245.1594275,250.9237246,251.9029196,188.9174314
ETH,10-06-2019,229.5070458,244.337663,245.1938419,184.8904299
ETH,11-06-2019,243.6975775,229.5109983,246.5467556,227.5986832
ETH,12-06-2019,245.6023534,247.6230872,248.8662286,170.4118677
ETH,13-06-2019,257.0824436,245.5892972,260.1928111,187.7823567
ETH,14-06-2019,255.8128946,262.4475639,263.972121,194.6956137
ETH,15-06-2019,263.9902062,255.796485,264.6293399,177.9932102
ETH,16-06-2019,268.8329564,263.8241691,273.3375335,190.6861686
ETH,17-06-2019,270.7520786,268.838735,278.8355814,207.9707537
ETH,18-06-2019,273.8801723,270.7634289,274.9991089,267.5539524
ETH,19-06-2019,263.1083722,273.9480765,274.3078433,261.3101545
ETH,20-06-2019,268.6365511,263.0697806,269.9607027,185.5163832
ETH,21-06-2019,271.8312145,268.6866404,274.2616507,176.3933055
ETH,22-06-2019,291.9443651,271.8410268,295.1896692,247.9209068
ETH,23-06-2019,302.005795,295.9257523,315.101062,293.0506112
ETH,24-06-2019,308.2046756,301.9969434,319.0247986,301.9419033
ETH,25-06-2019,308.6652726,308.2244555,313.5061674,222.140954
ETH,26-06-2019,316.2122784,308.8059673,316.4377844,305.5939741
ETH,27-06-2019,324.1308553,316.2487084,363.0531639,314.1520309
ETH,28-06-2019,296.1115559,324.1522872,342.9652397,274.5793916
ETH,29-06-2019,309.4092893,296.0943987,312.1489666,289.6351825
ETH,30-06-2019,314.0469441,310.3283211,314.3642121,291.677735
ETH,01-07-2019,293.5303669,314.0430714,323.4377604,288.3884115
ETH,02-07-2019,289.4528415,293.5804698,301.5106445,279.0722498
ETH,03-07-2019,291.4472478,289.4603019,296.4545036,271.7342248
ETH,04-07-2019,301.4034854,290.8884029,301.9217879,289.2267636
ETH,05-07-2019,293.1470523,301.3994332,303.5310501,291.8720501
ETH,06-07-2019,288.0914836,282.6740531,294.7659627,280.1610757
ETH,07-07-2019,287.2026911,288.0669655,298.0285586,285.4018286
ETH,08-07-2019,305.7988739,287.1971907,310.9137476,284.6029072
ETH,09-07-2019,313.7779112,305.8018718,314.0525399,302.1802774
ETH,10-07-2019,307.7689029,313.7816514,318.0989307,303.4367113
ETH,11-07-2019,289.1743327,308.3446294,314.5001382,281.7234312
ETH,12-07-2019,267.7342738,289.1801623,289.5746751,262.2146591
ETH,13-07-2019,274.6791842,267.7391335,278.9355042,266.0516817
ETH,14-07-2019,267.2689248,275.5647266,275.8469261,262.2602163
ETH,15-07-2019,236.8879114,269.5569639,270.0059583,230.1213864
ETH,16-07-2019,233.0681671,236.8410261,236.8523171,203.8575386
ETH,17-07-2019,200.2220044,233.075819,234.7755554,190.9829445
ETH,18-07-2019,212.2264798,200.2471556,219.7023792,192.4903855
ETH,19-07-2019,224.2387597,211.0360478,226.8850923,206.3666628
ETH,20-07-2019,219.6537524,224.2296353,230.0290444,213.7376459
ETH,21-07-2019,233.1300975,221.0188231,235.7427034,220.4459499
ETH,22-07-2019,225.0877738,233.1174588,234.7287712,217.4643024
ETH,23-07-2019,215.9390349,225.0844931,228.5309067,211.9388611
ETH,24-07-2019,215.5549595,215.9336514,218.9315696,208.5010151
ETH,25-07-2019,215.066558,212.432693,218.027393,201.3905447
ETH,26-07-2019,219.6820637,215.080531,225.5042289,214.8451667
ETH,27-07-2019,217.9143663,219.6669342,220.4622074,212.8870365
ETH,28-07-2019,206.3915854,217.9173501,223.8310754,203.0215743
ETH,29-07-2019,207.3703542,207.3419251,211.3757093,198.1438393
ETH,30-07-2019,211.6551177,211.384044,215.0349629,206.4738276
ETH,31-07-2019,210.0807134,211.6403353,213.9247065,204.8359459
ETH,01-08-2019,216.085927,210.0865878,218.0994618,209.4857311
ETH,02-08-2019,217.3123969,216.0811055,219.2952421,210.786577
ETH,03-08-2019,217.5168016,217.3149634,222.6266434,214.9062998
ETH,04-08-2019,222.1538141,217.5083335,224.3458012,216.8259948
ETH,05-08-2019,222.5023179,222.1758347,223.5262997,217.5653394
ETH,06-08-2019,233.0314056,222.5217636,236.5009297,222.0768086
ETH,07-08-2019,224.5440763,233.0398844,239.247579,222.8415379
ETH,08-08-2019,225.6844684,224.5519475,230.9854118,220.9042766
ETH,09-08-2019,219.2096428,225.6607662,226.6140002,215.245828
ETH,10-08-2019,209.1745628,220.9738876,221.4198018,206.5950705
ETH,11-08-2019,205.9151552,209.1752909,214.3848177,201.6468837
ETH,12-08-2019,214.8954808,206.0072576,216.1195111,205.6597807
ETH,13-08-2019,211.3484238,214.8925889,216.6276584,209.5413326
ETH,14-08-2019,206.9961675,211.3496171,211.3618795,203.4689062
ETH,15-08-2019,189.687623,208.7236345,208.9678049,181.9398753
ETH,16-08-2019,187.9278393,189.6936325,189.9109918,180.0358101
ETH,17-08-2019,185.9325033,188.1461935,188.1461935,178.3066536
ETH,18-08-2019,186.3736191,185.9494955,186.572749,182.2122054
ETH,19-08-2019,194.7744371,185.6367733,197.9024857,183.3606365
ETH,20-08-2019,200.6583914,194.7750047,202.8551121,193.0932168
ETH,21-08-2019,198.1378702,200.6585986,203.5303106,194.9857252
ETH,22-08-2019,184.8960218,198.1406678,198.2963584,180.5554796
ETH,23-08-2019,193.7319852,184.8933109,195.0971625,182.8136615
ETH,24-08-2019,193.9669059,190.6748553,196.3663188,188.6423055
ETH,25-08-2019,190.798504,194.0346257,194.2765907,186.2781652
ETH,26-08-2019,186.1119315,190.8039604,192.5964582,183.1354369
ETH,27-08-2019,188.0709594,186.8025598,194.0876922,185.8345895
ETH,28-08-2019,185.7509883,188.0587574,189.181218,184.7450818
ETH,29-08-2019,174.0590163,187.1406594,188.0544013,166.3943474
ETH,30-08-2019,168.961462,174.0616853,174.0883113,163.9105753
ETH,31-08-2019,168.6898906,168.9515702,170.3022489,165.7575073
ETH,01-09-2019,172.8455754,168.5187353,174.9729731,166.0265663
ETH,02-09-2019,172.0143992,172.8261603,173.5498796,168.110354
ETH,03-09-2019,178.4059547,172.0213348,181.0235305,170.5520437
ETH,04-09-2019,180.3972338,178.6012016,183.046488,175.1707108
ETH,05-09-2019,174.3697252,180.3998344,180.703478,173.4475722
ETH,06-09-2019,174.9847095,174.3779948,175.5946978,169.7753623
ETH,07-09-2019,169.1709225,174.998372,178.3285079,165.452909
ETH,08-09-2019,178.6452352,169.1518813,181.0204533,168.7406681
ETH,09-09-2019,181.445454,178.2157073,184.2881895,177.1594463
