Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,03-07-2019,10800.13014,10454.71189,10933.815,9676.5904
BTC,04-07-2019,11942.24022,10778.91006,11967.65444,10691.66944
BTC,05-07-2019,11645.52461,11942.24132,12044.07955,11488.83066
BTC,06-07-2019,10946.20905,11138.77103,11440.85573,10771.35484
BTC,07-07-2019,11219.046,10946.20856,11735.57094,10834.77587
BTC,08-07-2019,11422.11447,11219.04951,11593.11777,11101.91516
BTC,09-07-2019,12335.99939,11422.14116,12354.46303,11335.16395
BTC,10-07-2019,12575.90407,12335.99155,12815.67904,12127.71218
BTC,11-07-2019,12054.18379,12585.24197,13175.68774,11566.89839
BTC,12-07-2019,11324.1447,12054.18281,12188.17784,11011.04112
BTC,13-07-2019,11802.95996,11324.20183,11919.92206,11100.08851
BTC,14-07-2019,11279.60274,11796.77215,11830.80837,10826.03516
BTC,15-07-2019,10506.39583,11402.96731,11463.24252,10316.74949
BTC,16-07-2019,10934.48274,10506.34821,10954.82405,9872.027243
BTC,17-07-2019,9490.410516,10934.47264,11075.35282,9404.352196
BTC,18-07-2019,9733.132134,9490.438127,9972.24511,9085.489499
BTC,19-07-2019,10603.34887,9693.486511,10740.9887,9282.643
BTC,20-07-2019,10466.26094,10603.34315,10797.63846,10133.09431
BTC,21-07-2019,10983.216,10533.96325,11035.42593,10368.80107
BTC,22-07-2019,10551.13163,11004.39657,11096.77442,10314.26618
BTC,23-07-2019,10285.63923,10551.12785,10685.24817,10071.52249
BTC,24-07-2019,10027.53261,10285.63482,10338.63884,9882.631832
BTC,25-07-2019,9771.504761,9867.265028,9916.47758,9510.623987
BTC,26-07-2019,9897.429352,9771.504819,10184.44037,9738.089085
BTC,27-07-2019,9812.226351,9897.413446,9924.602563,9643.881829
BTC,28-07-2019,9440.140037,9812.206638,10193.53397,9306.103532
BTC,29-07-2019,9495.855261,9459.674242,9603.319275,9134.399352
BTC,30-07-2019,9506.704273,9528.693443,9717.514278,9373.369428
BTC,31-07-2019,9572.735372,9506.698028,9719.981661,9387.22372
BTC,01-08-2019,10005.29447,9572.738464,10132.40473,9572.738439
BTC,02-08-2019,10385.20061,10005.28929,10474.78174,9884.737728
BTC,03-08-2019,10513.91147,10385.21297,10663.61879,10329.19692
BTC,04-08-2019,10831.25986,10513.91475,10909.25592,10498.94443
BTC,05-08-2019,10985.80754,10831.2503,11051.98579,10573.7773
BTC,06-08-2019,11811.78705,10985.83088,11940.48387,10939.56908
BTC,07-08-2019,11310.18722,11811.80356,12314.10766,11219.40378
BTC,08-08-2019,11956.04722,11310.22164,12129.40974,11283.67611
BTC,09-08-2019,11817.45548,11956.02281,12032.04653,11502.52799
BTC,10-08-2019,11827.57457,11972.59295,12027.25991,11654.66325
BTC,11-08-2019,11278.28125,11827.57457,11967.87796,11227.62221
BTC,12-08-2019,11485.36578,11279.87554,11545.10453,11101.01485
BTC,13-08-2019,11391.96865,11485.36408,11583.8907,11227.44066
BTC,14-08-2019,10869.37911,11391.96383,11434.88853,10746.75595
BTC,15-08-2019,10211.49858,10851.20047,10860.82397,10047.99513
BTC,16-08-2019,10386.53955,10211.50951,10444.07996,9682.711422
BTC,17-08-2019,10388.45059,10307.25976,10530.36531,9726.97815
BTC,18-08-2019,10212.10144,10388.45804,10463.91871,9994.108246
BTC,19-08-2019,10335.37284,10211.67093,10462.74951,10082.26549
BTC,20-08-2019,10774.81031,10335.37448,10812.79708,10264.45646
BTC,21-08-2019,10818.50701,10774.82421,10943.87041,10531.48856
BTC,22-08-2019,10064.91679,10818.52263,10818.58913,9864.136684
BTC,23-08-2019,10161.16475,10064.93106,10229.01701,9762.052413
BTC,24-08-2019,10364.28135,10103.4429,10450.29234,10034.08645
BTC,25-08-2019,10171.49746,10392.61634,10408.96385,9901.486012
BTC,26-08-2019,10068.92242,10171.49019,10292.84102,9911.50882
BTC,27-08-2019,10312.21504,10138.57086,10624.60517,10136.07172
BTC,28-08-2019,10122.19653,10312.19686,10402.29749,10042.87929
BTC,29-08-2019,9743.162051,10169.14274,10279.25422,9600.835039
BTC,30-08-2019,9487.976434,9743.15873,9747.119828,9325.394154
BTC,31-08-2019,9590.736337,9487.960049,9682.725536,9343.706051
BTC,01-09-2019,9624.983911,9580.761352,9699.864379,9406.444484
BTC,02-09-2019,9780.667897,9624.979967,9819.158622,9552.150794
BTC,03-09-2019,10381.85596,9781.864338,10440.22046,9738.247573
BTC,04-09-2019,10691.3113,10366.37382,10752.42149,10290.49442
BTC,05-09-2019,10555.0469,10691.31852,10810.01817,10185.25791
BTC,06-09-2019,10576.31789,10555.0624,10643.94607,10463.81329
BTC,07-09-2019,10334.02389,10576.32519,10928.34381,10201.60832
BTC,08-09-2019,10495.22736,10333.99906,10563.71089,10288.75316
BTC,09-09-2019,10402.79653,10485.40972,10595.19556,10244.58258
BTC,10-09-2019,10332.94219,10402.76795,10524.38695,10097.98038
BTC,11-09-2019,10082.94683,10332.93727,10380.30659,9956.122723
BTC,12-09-2019,10152.75298,10107.49504,10269.03039,9891.803301
BTC,13-09-2019,10396.7672,10152.76062,10459.92661,10055.26449
BTC,14-09-2019,10299.47696,10396.76226,10447.38863,10167.99105
BTC,15-09-2019,10351.23202,10299.49457,10425.91182,10229.45418
BTC,16-09-2019,10302.19071,10361.08564,10381.56459,10267.86546
BTC,17-09-2019,10301.65965,10306.1484,10373.06351,10093.14028
BTC,18-09-2019,10231.42151,10301.66126,10304.62364,10145.34576
BTC,19-09-2019,10168.28771,10231.41302,10263.82338,10094.32501
BTC,20-09-2019,10223.50558,10166.77877,10286.01075,9687.29416
BTC,21-09-2019,10138.33521,10223.50709,10289.21566,10065.62894
BTC,22-09-2019,9984.520516,10138.35756,10179.74247,9908.572815
BTC,23-09-2019,10031.86671,9984.518857,10083.09813,9850.753085
BTC,24-09-2019,9719.718696,10031.86687,10062.91987,9630.695768
BTC,25-09-2019,8688.973526,9719.704257,9770.161484,7944.334498
BTC,26-09-2019,8438.708552,8528.464788,8741.509561,8230.466526
BTC,27-09-2019,8103.2109,8438.716459,8462.412486,7757.276118
BTC,28-09-2019,8195.210697,8103.901572,8286.743263,7869.55317
BTC,29-09-2019,8146.414032,8183.316058,8321.160587,7723.691419
BTC,30-09-2019,8085.71329,8146.422964,8228.641494,7905.017736
BTC,01-10-2019,8241.34147,8055.694139,8331.291686,7728.678427
BTC,02-10-2019,8333.68919,8298.624775,8508.705409,8195.045244
BTC,03-10-2019,8273.464018,8333.710296,8388.015862,8177.694601
BTC,04-10-2019,8203.843833,8273.457419,8412.650047,8060.325317
BTC,05-10-2019,8163.902638,8231.786249,8240.948769,8014.419323
BTC,06-10-2019,8137.146689,8163.901441,8196.249514,8025.500462
BTC,07-10-2019,7853.693305,8138.833489,8171.568254,7802.464851
BTC,08-10-2019,8236.208379,7850.684576,8304.140139,7777.631571
BTC,09-10-2019,8201.637818,8236.205875,8316.990673,8113.111805
BTC,10-10-2019,8572.380812,8173.838803,8691.072691,8117.91224
BTC,11-10-2019,8582.144518,8572.382301,8654.382776,8435.18651
BTC,12-10-2019,8320.171581,8582.148123,8796.457282,8288.227631
BTC,13-10-2019,8328.60426,8320.168154,8406.142415,8225.301457
BTC,14-10-2019,8282.177326,8309.172913,8468.97364,8167.264904
BTC,15-10-2019,8337.818999,8282.181596,8385.55341,8214.318868
BTC,17-10-2019,8003.820395,8166.344773,8184.386436,7918.275881
BTC,18-10-2019,8058.058081,8003.819261,8120.121106,7937.852166
BTC,19-10-2019,7970.239476,8058.058875,8121.045885,7820.066343
BTC,20-10-2019,7943.347107,7956.890802,8095.903392,7882.646968
BTC,21-10-2019,8200.318763,7943.352412,8306.004901,7884.518625
BTC,22-10-2019,8200.246099,8233.799468,8346.556497,8152.237887
BTC,23-10-2019,8073.409544,8200.244382,8309.665328,8054.948065
BTC,24-10-2019,7420.415836,8027.293815,8054.994888,7307.391946
BTC,25-10-2019,7460.617416,7420.414034,7503.599764,7347.630865
BTC,26-10-2019,8591.223897,7421.571805,8762.680498,7393.261413
BTC,27-10-2019,9171.306532,8591.236577,10332.40951,8591.225768
BTC,28-10-2019,9578.367556,9259.521873,9813.443885,9103.737134
BTC,29-10-2019,9458.22336,9578.364387,9930.974021,9272.656652
BTC,30-10-2019,9455.724693,9228.074502,9551.778726,9125.778457
BTC,31-10-2019,9225.995479,9455.728198,9468.963245,9004.132304
BTC,01-11-2019,9131.41063,9225.997769,9425.44994,8954.89964
BTC,02-11-2019,9197.632345,9131.417153,9291.117644,9047.176594
BTC,03-11-2019,9290.896602,9230.478858,9377.084522,9197.833142
BTC,04-11-2019,9202.415451,9290.899794,9362.633137,9074.382879
BTC,05-11-2019,9369.628081,9203.826007,9526.165195,9125.861531
BTC,06-11-2019,9326.599624,9404.38087,9466.070961,9173.044686
BTC,07-11-2019,9335.752402,9326.592531,9439.215735,9254.732115
BTC,08-11-2019,9226.485821,9331.215796,9364.590814,9088.107628
BTC,09-11-2019,8794.358645,9205.618606,9247.614352,8666.389614
BTC,10-11-2019,8798.042055,8794.36261,8881.909087,8719.961753
BTC,11-11-2019,9081.186878,8798.036067,9123.338511,8742.737626
BTC,12-11-2019,8711.534339,9081.177733,9096.026278,8613.892395
BTC,13-11-2019,8760.892718,8711.536153,8856.381556,8564.937933
BTC,14-11-2019,8749.520591,8760.888546,8837.921252,8703.63545
BTC,15-11-2019,8656.970922,8758.546642,8785.054199,8562.374593
BTC,16-11-2019,8500.643558,8656.971858,8763.903472,8359.849192
BTC,17-11-2019,8469.260899,8500.643936,8539.132174,8423.543205
BTC,18-11-2019,8537.339652,8469.261015,8624.956305,8369.224963
BTC,19-11-2019,8205.806366,8500.644603,8500.646489,8035.885907
BTC,20-11-2019,8118.488536,8205.810043,8205.810043,7988.922628
BTC,21-11-2019,8074.843174,8119.484444,8215.619589,8029.097727
BTC,22-11-2019,7612.740574,8074.840561,8118.113996,7420.281322
BTC,23-11-2019,7262.110535,7618.579413,7717.802088,6804.143065
BTC,24-11-2019,7303.405759,7262.127934,7354.862635,7094.975791
BTC,25-11-2019,7041.732936,7303.414265,7338.698677,6920.631497
BTC,26-11-2019,7211.861809,6894.651354,7368.147389,6524.552859
BTC,27-11-2019,7141.069449,7211.870983,7336.30101,7012.057702
BTC,28-11-2019,7523.480673,7141.075509,7660.64037,6851.62293
BTC,29-11-2019,7390.207469,7523.472887,7647.518089,7379.309918
BTC,30-11-2019,7729.265939,7390.210656,7856.607906,7378.405543
BTC,01-12-2019,7542.235609,7748.335487,7805.029322,7439.098867
BTC,02-12-2019,7381.963008,7542.245344,7564.940079,7238.322233
BTC,03-12-2019,7333.43293,7381.962005,7440.615736,7162.492125
BTC,04-12-2019,7315.367765,7315.439203,7407.410775,7238.730592
BTC,05-12-2019,7213.733762,7315.369274,7767.908725,7089.141289
BTC,06-12-2019,7398.78705,7213.743416,7488.137772,7155.119946
BTC,07-12-2019,7511.880583,7392.910937,7583.387456,7304.070441
BTC,08-12-2019,7532.123513,7511.884605,7619.666018,7475.015594
BTC,09-12-2019,7550.2392,7532.123513,7573.156018,7387.154016
BTC,10-12-2019,7333.096043,7550.238815,7652.742606,7285.227768
BTC,11-12-2019,7239.762575,7333.095889,7394.504676,7161.527291
BTC,12-12-2019,7198.066677,7240.078227,7269.474391,7131.644054
BTC,13-12-2019,7190.272369,7203.956606,7282.336143,7081.880221
BTC,14-12-2019,7238.874323,7188.071895,7297.588894,7183.201754
BTC,15-12-2019,7087.024985,7238.993089,7271.571184,7007.426923
BTC,16-12-2019,7112.731476,7087.024958,7198.32384,7007.558814
BTC,17-12-2019,6883.496394,7112.504977,7139.580243,6828.479448
BTC,18-12-2019,6584.028843,6884.661554,6933.741179,6565.009645
BTC,19-12-2019,7424.0154,6584.030424,7424.06403,6427.959386
BTC,20-12-2019,7147.568324,7285.122044,7367.158856,7043.162249
BTC,21-12-2019,7139.933371,7147.569001,7177.392151,7076.11104
BTC,22-12-2019,7286.335081,7155.213175,7328.930813,7122.024233
BTC,23-12-2019,7236.986205,7286.33631,7356.640519,7083.734726
BTC,24-12-2019,7166.172379,7236.986086,7498.797304,7127.936255
BTC,25-12-2019,7235.62665,7166.173045,7292.006736,7045.122915
BTC,26-12-2019,7212.809395,7235.623582,7277.804111,7120.21395
BTC,27-12-2019,7183.706536,7212.808361,7427.47228,7105.723864
BTC,28-12-2019,7227.293712,7183.706083,7251.381246,7065.278308
BTC,29-12-2019,7311.560644,7227.294388,7348.789794,7217.079597
BTC,30-12-2019,7385.464848,7315.151548,7520.637034,7272.593791
BTC,31-12-2019,7251.276794,7379.157881,7396.603322,7202.130766
BTC,01-01-2020,7179.957819,7251.277888,7298.892042,7119.626946
BTC,02-01-2020,7174.744012,7179.957689,7237.014866,7152.992402
BTC,03-01-2020,6955.48758,7174.712357,7190.188749,6914.857474
BTC,04-01-2020,7291.219505,6955.48758,7390.041835,6852.093401
BTC,05-01-2020,7337.63667,7291.217504,7390.762935,7263.178696
BTC,06-01-2020,7347.433264,7337.421391,7487.333871,7316.76337
BTC,07-01-2020,7713.860754,7351.57889,7749.648613,7339.702523
BTC,08-01-2020,8039.603701,7714.908484,8192.158877,7708.885351
BTC,09-01-2020,8067.606369,8046.802943,8463.183418,7871.035499
BTC,10-01-2020,7808.701364,8046.111529,8046.283882,7755.401227
BTC,11-01-2020,8087.452885,7808.703733,8136.499126,7670.457792
BTC,12-01-2020,8078.993532,8195.475999,8278.66058,8008.905117
BTC,13-01-2020,8149.313717,8080.229614,8188.385802,7959.533522
BTC,14-01-2020,8116.961008,8150.807336,8191.187715,8035.31553
BTC,15-01-2020,8735.142439,8110.511235,8848.921995,8108.954039
BTC,16-01-2020,8843.675732,8735.148417,8897.643793,8558.744377
BTC,17-01-2020,8711.637578,8825.385428,8855.530135,8587.518351
BTC,18-01-2020,8925.299028,8711.637311,9009.5337,8665.011538
BTC,19-01-2020,8939.8643,8925.303486,8971.890632,8803.094435
BTC,20-01-2020,8638.18144,8939.879994,9181.972791,8455.129028
BTC,21-01-2020,8652.683763,8638.182713,8739.353819,8502.570319
BTC,22-01-2020,8708.786013,8652.682469,8783.7501,8486.340457
BTC,23-01-2020,8635.074357,8708.835222,8797.773614,8575.103286
BTC,24-01-2020,8384.088777,8635.074108,8665.272406,8277.809127
BTC,25-01-2020,8451.232296,8381.599774,8512.454207,8220.867389
BTC,26-01-2020,8347.567505,8451.232129,8458.283993,8256.043067
BTC,27-01-2020,8562.30747,8347.569951,8597.904143,8282.358307
BTC,28-01-2020,8881.962391,8562.307388,8982.03544,8554.125634
BTC,29-01-2020,9131.114988,8877.733617,9176.388648,8874.284819
BTC,30-01-2020,9320.978406,9131.114653,9432.677487,9104.824063
BTC,31-01-2020,9545.077957,9288.522646,9633.251035,9185.18134
BTC,01-02-2020,9388.880752,9548.545376,9558.432613,9198.659041
BTC,02-02-2020,9363.193383,9388.87907,9451.06458,9284.410559
BTC,03-02-2020,9385.260386,9375.226831,9465.487907,9150.534573
BTC,04-02-2020,9269.707035,9385.259769,9603.105582,9222.946494
BTC,05-02-2020,9177.894637,9286.207776,9349.247058,9072.588214
BTC,06-02-2020,9625.456637,9177.895794,9745.171377,9147.652281
BTC,07-02-2020,9681.377411,9600.403585,9856.447773,9527.151669
BTC,08-02-2020,9795.344066,9681.3777,9872.616069,9653.132962
BTC,09-02-2020,9927.778256,9795.343586,9939.671501,9660.309157
BTC,10-02-2020,10132.7065,9900.684635,10175.90701,9888.154765
BTC,11-02-2020,9838.900016,10132.70648,10197.19928,9752.195757
BTC,12-02-2020,10236.63515,9851.644254,10351.45593,9711.360915
BTC,13-02-2020,10364.92629,10236.79326,10489.77986,10218.52286
BTC,14-02-2020,10218.09974,10364.23238,10516.91793,10097.76169
BTC,15-02-2020,10367.528,10234.4677,10598.03016,10108.15916
BTC,16-02-2020,9926.353691,10367.52748,10397.53648,9810.928072
BTC,17-02-2020,9876.234963,9926.353455,10052.35462,9642.465032
BTC,18-02-2020,9636.624095,9933.901933,9966.095384,9468.292698
BTC,19-02-2020,10189.99598,9636.624345,10272.79482,9615.263421
BTC,20-02-2020,9701.037191,10190.00776,10290.30426,9365.7803
BTC,21-02-2020,9631.484946,9608.93197,9704.692625,9410.921416
BTC,22-02-2020,9670.858654,9631.482559,9770.340692,9579.237409
BTC,23-02-2020,9689.086743,9696.533064,9724.336392,9575.054489
BTC,24-02-2020,9919.551448,9689.085992,10008.54047,9666.519497
BTC,25-02-2020,9640.469505,9921.048562,10008.37849,9480.185942
BTC,26-02-2020,9392.869629,9640.468562,9679.59509,9251.115834
BTC,27-02-2020,8787.978363,9392.868579,9393.864137,8626.935746
BTC,28-02-2020,8784.995352,8790.336853,8977.585565,8530.496379
BTC,29-02-2020,8778.470511,8818.102269,8904.126218,8459.695261
BTC,01-03-2020,8639.591417,8778.467316,8806.844965,8591.29254
BTC,02-03-2020,8548.948322,8639.592081,8747.725718,8412.723329
BTC,03-03-2020,8923.044398,8549.045999,8977.333203,8491.456295
BTC,04-03-2020,8791.112058,8916.73989,8919.263748,8652.809024
BTC,05-03-2020,8756.961062,8791.112073,8852.25666,8682.684594
BTC,06-03-2020,9078.578777,8756.962116,9172.138258,8745.992956
BTC,07-03-2020,9126.636822,9073.160134,9191.15034,9004.944712
BTC,08-03-2020,8925.213488,9126.888318,9204.672359,8858.647557
BTC,09-03-2020,8166.313894,8925.217518,8925.383039,8163.682472
BTC,10-03-2020,7875.750875,8166.313268,8256.125507,7625.189619
BTC,11-03-2020,7959.228274,7939.252823,8159.157919,7745.152079
BTC,12-03-2020,7955.306284,7959.233654,7984.602488,7591.897235
BTC,13-03-2020,5800.208905,7954.440008,7977.84368,5568.01669
BTC,14-03-2020,5672.681201,5803.794314,6013.252892,3867.091312
BTC,15-03-2020,5304.149952,5672.651113,5809.640296,5214.774302
BTC,16-03-2020,5355.187374,5304.149075,6115.834478,5076.862093
BTC,17-03-2020,4944.702336,5359.581995,5439.466703,4452.260545
BTC,18-03-2020,5465.582594,4944.692509,5558.129295,4921.203145
BTC,19-03-2020,5363.822853,5465.555261,5466.942335,5043.075092
BTC,20-03-2020,6301.063404,5363.81623,6428.780443,5274.927112
BTC,21-03-2020,6185.279839,6301.120291,6942.935268,5680.103282
BTC,22-03-2020,6187.05375,6176.205754,6470.354767,5883.754157
BTC,23-03-2020,5884.340133,6187.042146,6431.873162,5802.553402
BTC,24-03-2020,6455.454688,5829.352511,6620.858253,5694.198299
BTC,25-03-2020,6784.318011,6455.45065,6863.602196,6406.037439
