Date,Open,High,Low,Close,Volume,Currency,Return
2020-11-04,0.179801002,0.191120997,0.141809002,0.145949006,16344570,USD,0
2020-11-05,0.145951003,0.150564998,0.126469001,0.135104001,4948417,USD,0.055224723
2020-11-06,0.135104001,0.149546996,0.123430997,0.143163994,3148629,USD,-0.015602741
2020-11-07,0.143188998,0.168469995,0.134454995,0.141056001,1987416,USD,0.399506827
2020-11-08,0.141020998,0.239455,0.139401004,0.198250994,9484360,USD,0.568972697
2020-11-09,0.198225006,0.32011199,0.198225006,0.278508008,14267713,USD,-0.059944233
2020-11-10,0.27848801,0.368714988,0.250719011,0.266624004,8172919,USD,0.310360916
2020-11-11,0.266618997,0.437025011,0.264777005,0.353062004,14179229,USD,-0.163916236
2020-11-12,0.353049994,0.387796998,0.30546999,0.309358001,5191068,USD,0.26426236
2020-11-13,0.309359998,0.424403995,0.309359998,0.402658999,6851883,USD,0.56099092
2020-11-14,0.402696013,0.594787002,0.372671992,0.576206028,24645913,USD,0.038178686
2020-11-15,0.576131999,0.685500979,0.510255992,0.59157902,25609472,USD,-0.032042385
2020-11-16,0.591513991,0.674239993,0.538838029,0.573116004,15932409,USD,-0.119084651
2020-11-17,0.537874997,0.601265013,0.453738987,0.502668023,13641306,USD,0.028624199
2020-11-18,0.502673984,0.568019986,0.438331991,0.519073009,12647029,USD,-0.162606348
2020-11-19,0.51908797,0.558185995,0.437144011,0.437335998,9175634,USD,0.112132605
2020-11-20,0.437332988,0.544368029,0.433667004,0.495541006,14471904,USD,-0.063566672
2020-11-21,0.495534986,0.535933018,0.458391994,0.467741013,8400326,USD,-0.080271912
2020-11-22,0.467743009,0.471868008,0.405140996,0.427962989,8774026,USD,0.177219833
2020-11-23,0.427863985,0.544788003,0.414508998,0.510855973,13307375,USD,-0.097492036
2020-11-24,0.510508001,0.520763993,0.43679601,0.46913299,579626,USD,-0.103774808
2020-11-25,0.469168991,0.486523002,0.394371986,0.416119009,5813013,USD,-0.099826694
2020-11-26,0.415789008,0.420107007,0.319108009,0.369287014,6280435,USD,0.020042274
2020-11-27,0.368806005,0.382440001,0.336892009,0.377626985,4639204,USD,0.138131076
2020-11-28,0.377629012,0.443239003,0.371434003,0.428636998,7816212,USD,0.125751052
2020-11-29,0.428777009,0.492971003,0.413094997,0.476123989,8059133,USD,-0.046013289
2020-11-30,0.47666499,0.487834007,0.433921993,0.45640099,8295685,USD,-0.094611879
2020-12-01,0.456234992,0.463564008,0.407240987,0.411354005,5323517,USD,0.19008721
2020-12-02,0.411365986,0.512588978,0.404904008,0.498109996,11414172,USD,0.034748728
2020-12-03,0.497918993,0.532590985,0.488160014,0.512404025,7468014,USD,-0.160799897
2020-12-04,0.511862993,0.513750017,0.426023006,0.432307988,5781841,USD,0.08467149
2020-12-05,0.431616008,0.483842999,0.424585998,0.475694001,5037519,USD,0.008554067
2020-12-06,0.475721985,0.482066989,0.443062007,0.479391992,4472510,USD,0.176094289
2020-12-07,0.47884199,0.574725986,0.468436986,0.563158989,12668046,USD,0.014213844
2020-12-08,0.562636971,0.638383985,0.527271986,0.569972992,21443069,USD,0.103738051
2020-12-09,0.570927978,0.674993992,0.558830976,0.628394008,17429921,USD,-0.112279034
2020-12-10,0.629042983,0.636708975,0.556939006,0.564397991,8065085,USD,-0.02079742
2020-12-11,0.564369023,0.577428997,0.500087023,0.551329017,7991105,USD,0.043883918
2020-12-12,0.551479995,0.621802986,0.551250994,0.576097012,6963430,USD,0.064112325
2020-12-13,0.577264011,0.617043972,0.566253006,0.611443996,6632681,USD,0.047696793
2020-12-14,0.611877978,0.665775001,0.580680013,0.638921976,10156872,USD,0.149941784
2020-12-15,0.637942016,0.742449999,0.610530972,0.73060298,10788659,USD,0.020329625
2020-12-16,0.729345024,0.798116982,0.694224,0.743592024,18889339,USD,-0.04223224
2020-12-17,0.74565202,0.768105984,0.687681019,0.712737024,13978295,USD,0.149146272
2020-12-18,0.711569011,0.842260003,0.687838018,0.823641002,15508317,USD,-0.097110132
2020-12-19,0.825392008,0.84997201,0.750504017,0.754427016,10372523,USD,-0.081767408
2020-12-20,0.757076025,0.786409974,0.66713202,0.687080026,7876772,USD,-0.056519755
2020-12-21,0.687496006,0.713099003,0.606166005,0.644439995,6884907,USD,0.017620967
2020-12-22,0.643029988,0.659870028,0.588656008,0.65654701,6080070,USD,-0.197146406
2020-12-23,0.656512022,0.657242,0.465606004,0.529497981,8271198,USD,0.159589474
2020-12-24,0.534623027,0.641331971,0.481534004,0.634275973,10103222,USD,-0.064243808
2020-12-25,0.637295008,0.659340978,0.578019977,0.600259006,6486958,USD,-0.034981631
2020-12-26,0.600471973,0.616129994,0.540091991,0.578070998,5526690,USD,0.03722392
2020-12-27,0.578606009,0.620671988,0.52295202,0.600414991,6737717,USD,-0.004667254
2020-12-28,0.600495994,0.655768991,0.591601014,0.597716987,5507129,USD,-0.061554058
2020-12-29,0.597709,0.607025981,0.530152977,0.560759008,4326259,USD,-0.04610209
2020-12-30,0.560271025,0.584694982,0.531907022,0.533203006,4076298,USD,0.009125131
2020-12-31,0.533218026,0.539049029,0.500473022,0.538320005,4118458,USD,0.101873064
2021-01-01,0.538438976,0.620932996,0.514988005,0.592639029,7427284,USD,-0.095330006
2021-01-02,0.593075991,0.619980991,0.532132983,0.54132098,8697336,USD,0.045334564
2021-01-03,0.541391015,0.575388014,0.522971988,0.568188012,6473190,USD,-0.014728813
2021-01-04,0.566205978,0.615765989,0.518204987,0.560214996,6735382,USD,-0.004639337
2021-01-05,0.559593022,0.587612987,0.522095025,0.557578981,5470508,USD,0.073762763
2021-01-06,0.557026029,0.629019976,0.537128985,0.598901987,8111880,USD,0.013223301
2021-01-07,0.600624025,0.716749012,0.594507992,0.606275022,13050516,USD,-0.022396005
2021-01-08,0.604682982,0.640362978,0.540867984,0.59286201,8001181,USD,0.019200801
2021-01-09,0.593280971,0.636267006,0.561156988,0.604502976,6356061,USD,-0.049514034
2021-01-10,0.604466021,0.657463014,0.534313023,0.575147986,6518361,USD,-0.124983669
2021-01-11,0.575128019,0.575128019,0.418595999,0.499594986,5753199,USD,-0.087022775
2021-01-12,0.49850601,0.514303982,0.449423999,0.449544013,3754767,USD,0.105477419
2021-01-13,0.449918985,0.506192029,0.438748986,0.502240002,4543442,USD,0.06556638
2021-01-14,0.502502024,0.543274999,0.482244998,0.531714976,4958224,USD,0.02022943
2021-01-15,0.532540977,0.570860028,0.496475995,0.541875005,6577402,USD,0.07898968
2021-01-16,0.542675018,0.625256002,0.541655004,0.583875,7194995,USD,0.055394728
2021-01-17,0.583979011,0.643525004,0.564785004,0.613892019,7015968,USD,0.115579467
2021-01-18,0.613267004,0.68137598,0.589630008,0.68137598,10136020,USD,-0.076542719
2021-01-19,0.681793988,0.705856979,0.625750005,0.634387016,7153742,USD,-0.003029149
2021-01-20,0.633506,0.65644002,0.582759976,0.632323027,5527658,USD,0.019704041
2021-01-21,0.633758008,0.721651018,0.599669993,0.644823015,14347527,USD,-0.013535785
2021-01-22,0.644061029,0.664857984,0.543329,0.636264026,9634726,USD,0.092014344
2021-01-23,0.636201978,0.73457402,0.607491016,0.695596993,10690056,USD,0.065213491
2021-01-24,0.696255028,0.805184007,0.685066998,0.737089992,11154912,USD,0.150122864
2021-01-25,0.736142993,0.866698027,0.723244011,0.841515005,11708098,USD,0.142373421
2021-01-26,0.837978005,0.991631985,0.823629975,0.946457028,21704678,USD,-0.077398527
2021-01-27,0.948337972,1.148723006,0.866581023,0.881325006,17806252,USD,-0.067519164
2021-01-28,0.881531,0.933739007,0.816857994,0.817421019,13441054,USD,-0.003405139
2021-01-29,0.792756021,0.829008996,0.753583014,0.814419985,13800684,USD,0.033751301
2021-01-30,0.814776003,0.877394974,0.764751017,0.842009008,9761760,USD,-0.045067661
2021-01-31,0.841812015,0.874761999,0.769326985,0.805305004,7045470,USD,0.240358468
2021-02-01,0.806078017,1.023784041,0.77394098,1.007688999,18311155,USD,-0.054917053
2021-02-02,1.006898046,1.018849015,0.915558994,0.963464022,9576264,USD,0.054890935
